station_id,target,station_name,feature_set,alpha,split,rmse,mae,r2
2306,rental_count, 압구정역 2번 출구 옆,baseline_plus_weekday,1000.0,valid,1.6525151999780165,1.1569457649690456,0.3788381321282599
2306,return_count, 압구정역 2번 출구 옆,baseline_plus_weekday,0.001,valid,1.7029491938253407,1.1495770008940385,0.5665829618345675
2335,rental_count, 3호선 매봉역 3번출구앞,baseline_plus_weekday,0.001,valid,1.7829289770286818,1.215998758742046,0.5492312349463305
2335,return_count, 3호선 매봉역 3번출구앞,baseline_plus_weekday,10.0,valid,1.831153147245296,1.272999585265554,0.5451699360324602
2348,rental_count, 포스코사거리(기업은행),baseline_plus_rush_hour,100.0,valid,1.973599015603767,1.185752384553102,0.663773450649253
2348,return_count, 포스코사거리(기업은행),all_extended,1000.0,valid,2.3197010932931588,1.3763751642237763,0.7106089259207407
2375,rental_count, 수서역 1번출구 앞,baseline_plus_weekday,0.001,valid,1.4983782294089483,1.0248621206646849,0.48377125552760103
2375,return_count, 수서역 1번출구 앞,baseline_plus_weekday,10.0,valid,1.6072200851825775,1.150154103162501,0.47919262891316494
2377,rental_count, 수서역 5번출구,baseline_plus_month_day_type,100.0,valid,1.8263841102068372,1.247563339946723,0.4759527355034243
2377,return_count, 수서역 5번출구,baseline_plus_month_day_type,100.0,valid,2.034336396078775,1.4421663730565477,0.5986333931646315
2384,rental_count, 자곡사거리,baseline_plus_weekday,0.001,valid,1.7466362007832006,1.2160926894444233,0.4966132305786104
2384,return_count, 자곡사거리,all_extended,100.0,valid,1.824489171592673,1.3053845182407087,0.4901863318916755
