target,alpha,rmse,mae,r2
rental_count,0.001,1.5327305831972657,1.0168177995029937,0.26338171426823453
rental_count,0.01,1.5327303422813907,1.016817603663138,0.26338194583277286
rental_count,0.1,1.5327279341772486,1.0168156432399573,0.26338426046248287
rental_count,1.0,1.5327039574246146,1.0167958389218956,0.26340730632057296
rental_count,10.0,1.5324735673940049,1.016598701740799,0.2636287331105698
rental_count,100.0,1.5302564649416872,1.0148705745069952,0.26575787855054145
rental_count,1000.0,1.520747338784153,1.0118076177172521,0.27485479503335986
return_count,0.001,1.6512955419215474,1.019332374032749,0.3502422611324718
return_count,0.01,1.6512954097878831,1.019332376497476,0.3502423651173314
return_count,0.1,1.6512940893333357,1.0193324013960763,0.35024340427128975
return_count,1.0,1.6512809726091486,1.0193326754309229,0.3502537266533061
return_count,10.0,1.6511582144255454,1.0193378391336148,0.35035032887770456
return_count,100.0,1.6504725782608027,1.0199482365145043,0.35088974517956084
return_count,1000.0,1.6526258817298478,1.0308218337114035,0.34919490557648314
