target,alpha,rmse,mae,r2
rental_count,0.001,1.7012603839039666,1.2040504171766173,0.39702067751765835
rental_count,0.01,1.701260541658968,1.2040503567145742,0.3970205656911455
rental_count,0.1,1.7012621190625652,1.20404975275917,0.3970194475292338
rental_count,1.0,1.701277877763363,1.2040437791764786,0.39700827672372885
rental_count,10.0,1.7014273588957978,1.20400532166195,0.39690230950147387
rental_count,100.0,1.7025822621129474,1.2040959215214915,0.39608328440137797
rental_count,1000.0,1.7084386776157368,1.2082118446385344,0.39192152366543465
return_count,0.001,1.744612715964146,1.2571036764396588,0.43796555282974114
return_count,0.01,1.7446125828438632,1.2571034416865563,0.4379656386002745
return_count,0.1,1.7446112534394278,1.2571010957094018,0.43796649514653074
return_count,1.0,1.7445981372875536,1.257077789464926,0.43797494595651254
return_count,10.0,1.7444830928666013,1.2568608262064656,0.438049066997511
return_count,100.0,1.7442207674074635,1.2557263149642073,0.43821806026946963
return_count,1000.0,1.750634130402507,1.2627897099349494,0.4340792088321468
