target,alpha,rmse,mae,r2
rental_count,0.001,1.5951829741853656,1.1225624337220976,0.3967752623347913
rental_count,0.01,1.5951830990910263,1.1225623561175144,0.3967751678676503
rental_count,0.1,1.5951843497348026,1.1225615800995887,0.3967742219954453
rental_count,1.0,1.5951970120610128,1.1225538233833818,0.39676464533191247
rental_count,10.0,1.595336725451291,1.1224779061204906,0.39665897343473355
rental_count,100.0,1.5970207087863109,1.122341871231282,0.39538456853451487
rental_count,1000.0,1.6061166859064486,1.1288889171803658,0.388477670274877
return_count,0.001,1.6171593032511122,1.164871036105076,0.47693503353537714
return_count,0.01,1.6171596974495315,1.1648713073221568,0.4769347785309288
return_count,0.1,1.6171636377861995,1.1648740175216281,0.47693222954880143
return_count,1.0,1.61720287769453,1.164900924521967,0.476906845128943
return_count,10.0,1.617580111614964,1.1651537537804644,0.47666277989875716
return_count,100.0,1.6204508686988648,1.1669959009870166,0.47480357407622853
return_count,1000.0,1.6346200617196929,1.1774903253388311,0.465578802962752
