target,alpha,rmse,mae,r2
rental_count,0.001,1.7770206194222942,1.2709650848233536,0.3724055929201967
rental_count,0.01,1.7770208803366787,1.2709646895910536,0.3724054086247319
rental_count,0.1,1.7770234906404956,1.270960739416009,0.3724035648492551
rental_count,1.0,1.7770497082324248,1.2709214512464775,0.3723850460297814
rental_count,10.0,1.7773220080014718,1.2705508241668586,0.37219269068957883
rental_count,100.0,1.7803442715284272,1.2686108457296799,0.3700557539395426
rental_count,1000.0,1.7960953884089117,1.2743576625680353,0.3588599215834082
return_count,0.001,1.7302200928832858,1.2411588655883161,0.40585700164756855
return_count,0.01,1.730219994430404,1.24115859040342,0.4058570692633464
return_count,0.1,1.7302190109740605,1.2411558414619845,0.4058577446843563
return_count,1.0,1.730209282397145,1.2411286399095849,0.4058644260840436
return_count,10.0,1.7301214774800957,1.2408847056507741,0.4059247271142127
return_count,100.0,1.7296806294976734,1.2399270900473296,0.4062274382500698
return_count,1000.0,1.7324299008154256,1.2439041210400168,0.4043383736422358
