year,month,year_month,hour,feature,hourly_mean
2023,4.0,2023-04,10,bike_change_lag_1,-0.3105590062111801
2023,4.0,2023-04,11,bike_change_lag_1,-0.19813664596273292
2023,4.0,2023-04,12,bike_change_lag_1,0.14389233954451347
2023,4.0,2023-04,13,bike_change_lag_1,0.10496894409937889
2023,4.0,2023-04,14,bike_change_lag_1,-0.016977225672877846
2023,4.0,2023-04,15,bike_change_lag_1,0.06894409937888199
2023,4.0,2023-04,16,bike_change_lag_1,0.08923395445134576
2023,4.0,2023-04,17,bike_change_lag_1,0.2217391304347826
2023,4.0,2023-04,18,bike_change_lag_1,0.3869565217391304
2023,4.0,2023-04,19,bike_change_lag_1,0.12360248447204969
2023,4.0,2023-04,20,bike_change_lag_1,-0.632919254658385
2023,4.0,2023-04,21,bike_change_lag_1,-0.2842650103519669
2023,4.0,2023-04,22,bike_change_lag_1,-0.039337474120082816
2023,4.0,2023-04,23,bike_change_lag_1,-0.17991718426501035
2023,5.0,2023-05,0,bike_change_lag_1,-0.29252654778601483
2023,5.0,2023-05,1,bike_change_lag_1,-0.13203766780204368
2023,5.0,2023-05,2,bike_change_lag_1,-0.08314966940492888
2023,5.0,2023-05,3,bike_change_lag_1,-0.11640953716690042
2023,5.0,2023-05,4,bike_change_lag_1,-0.059707473452213985
2023,5.0,2023-05,5,bike_change_lag_1,-0.0422760969745542
2023,5.0,2023-05,6,bike_change_lag_1,0.05129232618713685
2023,5.0,2023-05,7,bike_change_lag_1,0.23742736926467642
2023,5.0,2023-05,8,bike_change_lag_1,0.6110999799639351
2023,5.0,2023-05,9,bike_change_lag_1,0.49449008214786616
2023,5.0,2023-05,10,bike_change_lag_1,-0.45081146062913247
2023,5.0,2023-05,11,bike_change_lag_1,-0.2606692045682228
2023,5.0,2023-05,12,bike_change_lag_1,0.15367661791224205
2023,5.0,2023-05,13,bike_change_lag_1,0.11340412742937288
2023,5.0,2023-05,14,bike_change_lag_1,-0.10178320977759968
2023,5.0,2023-05,15,bike_change_lag_1,-0.006010819475055099
2023,5.0,2023-05,16,bike_change_lag_1,0.07413344019234622
2023,5.0,2023-05,17,bike_change_lag_1,0.27008615507914246
2023,5.0,2023-05,18,bike_change_lag_1,0.5253456221198156
2023,5.0,2023-05,19,bike_change_lag_1,0.22280104187537567
2023,5.0,2023-05,20,bike_change_lag_1,-0.6495692246042877
2023,5.0,2023-05,21,bike_change_lag_1,-0.24984972951312362
2023,5.0,2023-05,22,bike_change_lag_1,-0.07753957122821079
2023,5.0,2023-05,23,bike_change_lag_1,-0.20777399318773793
2023,6.0,2023-06,0,bike_change_lag_1,-0.3347826086956522
2023,6.0,2023-06,1,bike_change_lag_1,-0.13747412008281573
2023,6.0,2023-06,2,bike_change_lag_1,-0.115527950310559
2023,6.0,2023-06,3,bike_change_lag_1,-0.10993788819875776
2023,6.0,2023-06,4,bike_change_lag_1,-0.05341614906832298
2023,6.0,2023-06,5,bike_change_lag_1,-0.0474120082815735
