year_month,feature_count,mean_feature_weight,min_feature_weight,downweight_feature_count,mean_adjacent_similarity,overall_month_weight,downweight_flag
2023-01,13,0.9529314114153647,0.7621932331833312,2,0.09413717716927043,0.9529314114153647,False
2023-02,13,0.9242609788101903,0.7315295249614372,4,0.1514780423796194,0.9242609788101903,False
2023-03,13,0.9030598919858251,0.6727191942198171,5,0.1938802160283496,0.9030598919858251,False
2023-04,13,0.9163919007920386,0.6281548698729587,3,0.16721619841592278,0.9163919007920386,False
2023-05,13,0.9123781389211469,0.610328101966688,4,0.17524372215770623,0.9123781389211469,False
2023-06,13,0.9080810958741795,0.6166811454416191,4,0.18383780825164087,0.9080810958741795,False
2023-07,13,0.8892081925136771,0.6287447527492931,5,0.22158361497264586,0.8892081925136771,False
2023-08,13,0.8941018644099178,0.6315363470102758,4,0.21179627118016445,0.8941018644099178,False
2023-09,13,0.920426444686362,0.645856676987447,3,0.15914711062727585,0.920426444686362,False
2023-10,13,0.928010366028466,0.6499192473855602,3,0.14397926794306792,0.928010366028466,False
2023-11,13,0.9450427761717892,0.7110467757759513,2,0.10991444765642149,0.9450427761717892,False
2023-12,13,0.9278397901510064,0.7015192521991478,3,0.1443204196979874,0.9278397901510064,False
2024-01,13,0.9050618364781814,0.6118878214285193,3,0.18987632704363716,0.9050618364781814,False
2024-02,13,0.9440591406402146,0.689858917256855,3,0.11188171871957094,0.9440591406402146,False
2024-03,13,0.9664886340938431,0.782611240730206,2,0.06702273181231361,0.9664886340938431,False
2024-04,13,0.9279254829305864,0.6669698316896409,3,0.14414903413882713,0.9279254829305864,False
2024-05,13,0.9030934436895769,0.5826126309953986,3,0.1938131126208463,0.9030934436895769,False
2024-06,13,0.9258630917257769,0.5993463750673982,3,0.14827381654844615,0.9258630917257769,False
2024-07,13,0.9338600821373245,0.617693166073655,2,0.13227983572535093,0.9338600821373245,False
2024-08,13,0.9156124750187671,0.6100937228669842,3,0.16877504996246587,0.9156124750187671,False
2024-09,13,0.9120429887376289,0.6352991165976477,3,0.17591402252474223,0.9120429887376289,False
2024-10,13,0.9147823077807643,0.6245235413821687,3,0.17043538443847148,0.9147823077807643,False
2024-11,13,0.9350874691117822,0.6599088125320592,3,0.12982506177643566,0.9350874691117822,False
2024-12,13,0.9505742201458243,0.7025971658614893,2,0.09885155970835137,0.9505742201458243,False
