,반납대여소번호
1569,2324
1623,3628
1605,4923
1600,3624
1881,2324
1883,2324
1609,3606
1615,2388
1601,2403
1602,2413
1592,4906
1709,2408
1614,2388
1578,4923
1596,2332
1583,4923
1640,2414
1622,2377
1796,2404
1608,3641
1695,3641
1612,3651
1632,2341
1737,2414
1624,2321
1670,2414
1616,2404
1628,2303
1617,2407
1604,2416
1675,2324
1637,2332
1618,2415
1638,2377
1613,3606
1652,2372
1643,2386
1714,4914
1629,3615
1620,3627
1771,2301
1641,4918
1661,3651
1627,2344
1630,3628
1621,3640
1631,2423
1636,2385
1656,4916
1667,2324
1625,2430
1669,3628
1642,2328
1639,2415
1649,2372
1741,2309
1663,2360
1645,2414
1646,2409
1725,2404
1676,4917
1654,2332
1680,2332
1679,2332
1668,2320
1780,3614
1664,2376
1662,2387
1686,3636
1687,3622
1694,2404
1688,3622
1804,2362
1805,2362
1653,2372
1666,2422
1684,4906
1693,3636
1710,2389
1692,3628
1702,2306
1945,2373
1691,2301
1697,4914
1690,3628
1660,2306
1886,2328
1713,2331
1895,3630
1665,2373
1685,3651
1746,2335
1672,2423
1681,2403
1982,2348
1689,2325
1698,2431
1708,3623
1733,4918
1764,2303
1928,3614
1700,3651
1753,2390
1732,2394
1682,2301
1718,2407
1722,2308
1730,2343
1754,2312
1727,2376
1880,2429
1717,2375
1807,2428
1696,2425
2032,4906
1745,2326
1701,2308
1744,2326
1755,4902
1751,4915
1729,2351
1829,2409
1809,2428
1739,3622
1726,3643
1712,2332
1750,2369
1705,2431
1715,3649
1716,2302
1706,2332
1719,2431
1711,2373
1720,2431
1990,2369
1736,4923
1759,2404
2069,2430
1974,2413
1721,2431
1724,2325
1879,3627
1799,2301
1772,3622
1752,2329
1873,2413
1738,2356
1742,3651
1762,3646
1937,2356
1747,2412
1735,2409
1863,3614
1906,2314
1728,2384
1749,3648
1743,2377
1758,2389
1757,2303
1740,2319
1763,2340
1774,2325
1789,2415
1768,2404
1798,2342
1784,2422
1781,2328
1783,2405
1777,2337
1770,4923
1769,2407
1756,2348
1889,2301
1776,2404
1787,2340
1782,2327
2101,2324
1775,2381
2321,2369
1773,3618
1800,3627
1813,2301
1785,2372
1790,3614
1898,3623
1778,2416
1802,3628
1961,2325
1786,3618
1803,2372
2006,2340
1794,4902
1882,2406
1816,2325
1792,2321
1858,2415
1814,2388
1812,2388
1791,2425
1850,3643
1842,2303
1936,2407
1820,2414
1811,2337
1808,2332
1857,2387
1795,3618
1874,3651
1801,4914
1819,3624
2141,2301
2057,2396
1855,2332
1822,3640
2042,2423
1835,3615
1963,2337
1824,2309
1797,2341
1947,2308
1832,2362
1833,2362
2016,3628
1818,2323
1861,2429
1848,2376
1859,2429
1877,2413
1810,2335
1900,2415
1957,2314
1885,3611
1845,4917
1828,2421
1817,4913
1866,2377
1821,2376
1823,3649
2227,2418
1831,3627
1837,2326
1952,4911
2001,2408
1943,2422
1827,3623
1946,2328
2434,2325
1852,2418
2174,2364
2050,2306
1843,2423
1872,2352
1834,2339
2040,2337
1826,2301
1836,2324
1825,2428
1839,2302
1840,2317
1926,3627
1846,2302
1847,2302
1887,2320
2062,2306
1838,2342
1869,2352
2060,2306
1929,3627
1851,2431
1871,2387
2019,2324
1959,2321
1892,2408
1864,3604
1856,2301
1932,2407
1909,2357
2015,2332
2172,4923
1844,3606
1854,2414
1878,2373
2150,2342
1862,2411
1860,3611
1896,2421
1911,3651
1853,2431
1870,3614
1876,2414
2100,2306
1868,2418
2147,2404
1884,2412
1908,2335
1867,2344
1904,2375
1992,4918
1865,3614
1996,2302
1944,2332
1891,2404
1927,2404
1913,2332
1939,2369
1875,2431
1942,2332
2000,2411
1912,2332
1915,2404
1979,3642
1925,2396
1893,2431
1897,3606
1901,3651
2133,2332
1888,2422
1914,2332
1894,2418
2051,2301
1902,3611
1890,2373
1940,2344
1918,2340
1899,2431
1903,2389
1916,2407
1910,3622
1907,4909
1921,2304
1923,2304
1951,2362
1905,2431
2039,3623
1934,2394
2394,3630
1924,2376
1919,2342
1930,2411
1949,2389
1933,2349
1950,2403
1922,2431
1917,2324
2122,3612
2121,3612
2192,2431
2029,2350
1931,2308
1938,2303
2008,2406
2373,2307
2009,2406
1958,2387
2190,2431
1953,4914
1941,4918
1966,3618
2270,2318
2420,2413
1995,2411
1935,3627
1948,2408
2058,2306
1956,3609
2271,2318
1954,2372
1955,2372
2053,2356
1968,2373
1965,2389
1978,3642
2049,2356
2059,2306
1967,2380
1993,3636
2127,2387
1970,4914
1971,4914
2047,2356
2079,2333
2014,2306
1975,4903
1960,3647
1994,2386
1972,2324
1997,4907
2142,2384
2284,2308
1964,4918
2044,2404
1984,2426
1976,2431
1983,2389
1980,2323
1981,2323
1962,2423
2066,2340
1969,2373
2094,2314
2011,3614
1973,2342
1985,2306
2005,2365
1987,2404
2025,2382
1986,2418
2027,2383
2381,2377
1977,2332
1988,2420
2004,2431
1989,2420
2095,2428
2003,2408
1991,2342
2173,3606
1999,3641
2021,2336
2061,2353
2334,2319
2177,3606
2023,2420
2020,3612
2026,3649
2126,2301
2237,2348
2022,2420
