actual,0,1,2,3,4,5,6,7,8
0,4833,112,33,0,0,0,0,0,0
1,1881,134,67,1,0,0,0,0,0
2,787,109,65,5,0,0,0,0,0
3,294,75,62,2,0,0,0,0,0
4,94,43,44,5,0,0,0,0,0
5,35,17,20,4,0,0,0,0,0
6,10,5,10,5,0,0,0,0,0
7,4,2,0,0,0,0,0,0,0
8,0,1,1,0,0,0,0,0,0
