rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,station_num
15,267. 삼성화재 사옥 옆,21,140,37.53596115,126.89830017,ST-421,267
6,268. 그랜드컨벤션센터 앞,27,450,37.53471756,126.90000153,ST-422,268
10,270. 증권거래소후문교차로,1,10,37.52234268,126.92710114,ST-424,270
10,271. 샛강생태공원방문자센터 앞,3,30,37.51896286,126.92161560,ST-425,271
20,272. 당산육갑문,88,440,37.53533936,126.90367889,ST-426,272
10,275. 신동아아파트,9,90,37.52269745,126.88568115,ST-1320,275
10,276. 영등포로터리2,7,70,37.51828384,126.91263580,ST-1321,276
10,278. 쌍용플레티넘오피스텔,32,320,37.50793076,126.89523315,ST-1323,278
15,279. 영등포 푸르지오 아파트 B,20,133,37.51322937,126.90446472,ST-1353,279
10,280. 양평동6차현대아파트 앞,25,250,37.53210068,126.89443970,ST-1539,280
8,281. 대림신동아아파트 앞,9,113,37.49824142,126.89398193,ST-1540,281
10,282. 신한은행 대림동지점,40,400,37.48752975,126.90487671,ST-1541,282
15,283. 아크로타워 스퀘어(영등포시장),24,160,37.52251816,126.90721893,ST-1649,283
16,284. 센트럴 푸르지오 시티 앞,24,150,37.51821136,126.90222931,ST-1650,284
9,285. 콤텍시스템 앞,48,533,37.49985886,126.89723969,ST-1651,285
12,286. 우성아파트 교차로,58,483,37.49457169,126.89974976,ST-1652,286
10,287. 영등포전화국사거리 (서강어린이공원),8,80,37.52576828,126.90573883,ST-1653,287
10,288. 쌍용예가(구청별관),17,170,37.52809906,126.89338684,ST-1677,288
10,289. 대림3동사거리,10,100,37.49980927,126.89800262,ST-1697,289
12,290. 새말소공원,28,233,37.53150940,126.89782715,ST-1698,290
14,291. 문래동 하이테크 시티,19,136,37.51412964,126.89939117,ST-1699,291
10,292. 영일 어린이공원,20,200,37.51012039,126.90406799,ST-1700,292
15,293. 충북 미래관,8,53,37.52917099,126.90757751,ST-1701,293
10,295.영등포공원 분수대 앞,10,100,37.51481247,126.91170502,ST-1967,295
20,296.KT플라자 영등포점,24,120,37.52630234,126.90538025,ST-1968,296
10,297.국회3문,0,0,37.52863693,126.91267395,ST-1969,297
25,298.KBS 연구동 건너편,5,20,37.52724838,126.91374207,ST-1970,298
10,299.여의도 순복음교회,3,30,37.53179169,126.92245483,ST-1971,299
11,328. 탑골공원 앞,4,36,37.57039642,126.98818970,ST-144,328
8,329. 청계2가 사거리 옆,12,150,37.56848526,126.98788452,ST-145,329
5,332. 을지로2가 사거리 남측,0,0,37.56599045,126.98779297,ST-148,332
10,334. 종로3가역 2번출구 뒤,21,210,37.57059860,126.99179077,ST-150,334
10,335. 종로3가역 15번출구 뒤,10,100,37.57019424,126.99165344,ST-151,335
8,336. 충무로역 6번출구 앞,4,50,37.56144714,126.99311066,ST-152,336
5,337. 창경궁 입구,1,20,37.57897949,126.99647522,ST-153,337
18,338. 세운스퀘어 앞,0,0,37.57095718,126.99712372,ST-154,338
10,339. 종로4가 사거리,3,30,37.57106781,126.99819183,ST-155,339
8,340. 혜화동 로터리,5,63,37.58562851,127.00067902,ST-156,340
8,341. 혜화역 3번출구 뒤,0,0,37.58156967,127.00178528,ST-157,341
22,342. 대학로 마로니에공원,4,18,37.58044434,127.00234222,ST-158,342
6,343. 힐스테이트창경궁 아파트 앞,8,133,37.57561111,127.00469971,ST-159,343
10,344. 성균관대 E하우스 앞,2,20,37.57419968,127.00659180,ST-160,344
18,345. 서울보증보험본사 앞,0,0,37.57330704,127.00070953,ST-161,345
10,346. 맥스타일 앞,1,10,37.56896210,127.01014709,ST-162,346
18,347. 동대문역사문화공원역 9번출구 앞,5,28,37.56533051,127.00784302,ST-163,347
14,348. 독립문역 사거리,16,114,37.57210541,126.96095276,ST-183,348
5,351. 청운초교 앞 삼거리,1,20,37.58496857,126.97041321,ST-167,351
10,352. 중앙고입구 삼거리,1,10,37.58341599,126.98523712,ST-168,352
10,354. 포르투갈 대사관 앞,2,20,37.57915497,126.98896027,ST-170,354
15,355. 서울사대부설초등학교 앞,1,7,37.57650757,127.00245667,ST-171,355
15,356. KT혜화지사 앞,0,0,37.57714462,127.00205994,ST-172,356
13,358. 성균관대입구 사거리 A,9,69,37.58250046,126.99853516,ST-173,358
8,359. 원남동사거리,6,75,37.57606125,126.99768066,ST-174,359
10,361. 동묘앞역 1번출구 뒤,23,230,37.57324219,127.01590729,ST-175,361
10,362. 청계8가사거리 A,16,160,37.57223511,127.02317810,ST-176,362
13,363. 신설동역 11번출구 뒤,10,77,37.57559204,127.02285004,ST-177,363
8,364. 창신역 1번출구 앞,1,13,37.57933426,127.01508331,ST-178,364
13,367. 독립문역 3-1번출구 ,16,123,37.57415771,126.95851898,ST-180,367
10,371. 동대입구역 6번출구 뒤,3,30,37.55887222,127.00553894,ST-186,371
10,372. 약수역 3번출구 뒤,8,80,37.55429459,127.01119995,ST-187,372
12,374. 신당동주민센터앞,5,42,37.56209183,127.01467133,ST-189,374
7,379. 서울역9번출구,18,257,37.55599976,126.97335815,ST-194,379
8,380. CJ제일제당 앞,5,63,37.56386566,127.00274658,ST-195,380
10,381. 장충체육관,0,0,37.55853271,127.00698853,ST-196,381
7,382. 약수역 10번출구 앞,1,14,37.55519867,127.01004791,ST-197,382
24,383. 신당역 12번 출구 뒤,19,79,37.56591797,127.01642609,ST-198,383
5,384. 중림동삼거리,6,120,37.55978012,126.96850586,ST-199,384
10,387. 훈련원공원주차장 앞,3,30,37.56699371,127.00346375,ST-338,387
10,388. 동성중학교 앞,5,50,37.58573532,127.00160980,ST-444,388
9,389. 을지로4가역 1번출구,8,89,37.56673050,126.99660492,ST-943,389
12,390. 충무로역 1번출구,6,50,37.56138992,126.99535370,ST-944,390
12,393. 동대문역 8번 출구,0,0,37.57014084,127.00937653,ST-1372,393
15,394. 경희궁 자이 3단지,23,153,37.56748962,126.96591949,ST-1373,394
8,395. 경희궁 자이 2단지,14,175,37.56885529,126.96456146,ST-1374,395
13,397. 종묘공영주차장 건너편,12,92,37.57048035,126.99663544,ST-1432,397
8,398. 을지로3가역 3번출구,8,100,37.56660461,126.99249268,ST-1435,398
15,399. 서울역 센트럴 자이아파트,8,53,37.55410767,126.96540833,ST-1436,399
14,400. 상암한화오벨리스크 1차 앞,27,193,37.58752441,126.88300323,ST-110,400
13,401. 상암월드컵파크 10단지 앞,12,92,37.58618927,126.88161469,ST-76,401
20,402. 상암월드컵파크 9단지 앞,26,130,37.58292770,126.87983704,ST-77,402
20,403. 부엉이공원 앞,58,290,37.58559036,126.88472748,ST-78,403
8,405. DMC빌 앞,1,13,37.58265686,126.88578796,ST-80,405
15,406. 상암월드컵파크 7단지 앞,8,53,37.58108902,126.88088226,ST-81,406
17,407. 마포구 육아종합지원센터,34,200,37.58063126,126.88367462,ST-83,407
14,408. LG CNS앞,14,100,37.58081055,126.88665009,ST-84,408
30,409. 누리꿈스퀘어 옆,24,80,37.57939911,126.88916016,ST-86,409
10,410. 상암중학교 옆,1,10,37.57739258,126.88747406,ST-88,410
10,411. DMC홍보관,17,170,37.57799530,126.89147186,ST-90,411
21,412. DMC산학협력연구센터 앞,4,19,37.57565689,126.89079285,ST-91,412
10,413. 상암월드컵파크 3단지 후문,9,90,37.57147598,126.88968658,ST-92,413
8,414. 상암동주민센터 옆,36,450,37.57822037,126.89447021,ST-94,414
10,415. DMC역 9번출구 앞,22,220,37.57746887,126.89736176,ST-95,415
12,416. 상암월드컵파크 1단지 교차로,20,167,37.57566452,126.89444733,ST-96,416
20,417. DMC역 2번출구 옆,62,310,37.57506943,126.89991760,ST-93,417
20,418. 월드컵경기장역 3번출구 옆,13,65,37.57277679,126.89926910,ST-89,418
21,419. 홈플러스 마포점 앞,63,300,37.56842041,126.89942932,ST-87,419
37,420. 서울시 공공자전거 상암센터,35,95,37.56624603,126.89617920,ST-85,420
8,421. 마포구청 앞,27,338,37.56574631,126.90186310,ST-82,421
9,422. 문화비축기지,10,111,37.56897736,126.89440155,ST-968,422
15,424. 롯데하이마트 (상암월드컵점),16,107,37.57361984,126.89804840,ST-990,424
10,425. DMC첨단산업센터,8,80,37.58450317,126.88559723,ST-991,425
10,426. 서울신용보증재단,17,170,37.54906082,126.95417786,ST-992,426
12,427. 성산시영아파트,27,225,37.56937790,126.90402985,ST-1397,427
10,428. 명보사거리,3,30,37.56439972,126.99143219,ST-1437,428
8,429. 송도병원,0,0,37.54988861,127.00734711,ST-1438,429
6,430. 장충동먹자골목 앞,9,150,37.56212616,127.00625610,ST-1439,430
25,431. 청계천 영도교,5,20,37.57101440,127.01974487,ST-1440,431
10,432. 마포중앙도서관,11,110,37.56333923,126.90820312,ST-1494,432
