STA_LOC,RENT_ID,RENT_NO,RENT_NM,RENT_ID_NM,HOLD_NUM,STA_ADD1,STA_ADD2,STA_LAT,STA_LONG,START_INDEX,END_INDEX,RNUM,RENT_NO_STR,RNTLS_ID,ADDR1,ADDR2,LAT,LOT
강남구,ST-2689,03628,역삼1동 주민센터,3628. 역삼1동 주민센터,10,서울특별시 강남구 역삼로7길 16 역삼1문화센터,,37.49521255,127.03302765,0,0,1748,3628,ST-2689,서울특별시 강남구 역삼로7길 16 역삼1문화센터,,37.495213,127.033028
강남구,ST-798,02314,청담나들목입구,2314. 청담나들목입구,10,서울특별시 강남구 삼성동 111-4,,37.52101517,127.06015015,0,0,3020,2314,ST-798,서울특별시 강남구 삼성동 111-4,,37.521015,127.06015
강남구,ST-806,02323,주식회사 오뚜기 정문 앞,2323. 주식회사 오뚜기 정문 앞,10,서울특별시 강남구 영동대로 308,주식회사 오뚜기 정문 앞,37.50221252,127.06720734,0,0,3030,2323,ST-806,서울특별시 강남구 영동대로 308,주식회사 오뚜기 정문 앞,37.502213,127.067207
