date,total_increase,total_decrease,n_increase,n_decrease,abs_decrease,balance_ratio,imbalance
2022-12-01,353.0,-266.0,26,22,266.0,1.3270676691679435,87.0
2022-12-07,13.0,0.0,1,0,0.0,13000000000.0,13.0
2022-12-09,0.0,-8.0,0,1,8.0,0.0,8.0
2022-12-13,0.0,-14.0,0,1,14.0,0.0,14.0
2023-01-01,278.0,-246.0,23,18,246.0,1.1300813008084143,32.0
2023-02-01,228.0,-261.0,17,21,261.0,0.8735632183874577,33.0
2023-02-02,0.0,-14.0,0,1,14.0,0.0,14.0
2023-02-13,0.0,-10.0,0,1,10.0,0.0,10.0
2023-02-16,8.0,0.0,1,0,0.0,7999999999.999999,8.0
2023-03-01,319.0,-128.0,23,11,128.0,2.49218749998053,191.0
2023-03-04,0.0,-9.0,0,1,9.0,0.0,9.0
2023-03-07,8.0,-9.0,1,1,9.0,0.8888888887901234,1.0
2023-03-08,11.0,0.0,1,0,0.0,11000000000.0,11.0
2023-03-09,0.0,-8.0,0,1,8.0,0.0,8.0
2023-03-10,0.0,-10.0,0,1,10.0,0.0,10.0
2023-03-11,9.0,-9.0,1,1,9.0,0.9999999998888889,0.0
2023-03-13,0.0,-9.0,0,1,9.0,0.0,9.0
2023-03-14,0.0,-17.0,0,2,17.0,0.0,17.0
2023-03-15,0.0,-11.0,0,1,11.0,0.0,11.0
