split,baseline_rmse,new_rmse,rmse_change,baseline_mae,new_mae,mae_change,baseline_r2,new_r2,r2_change
valid,0.354179,0.9939069462911321,0.639727946291132,0.149206,0.635510942558142,0.486304942558142,0.935107,0.4889709176084037,-0.4461360823915963
test,0.317459,0.9113346143767228,0.5938756143767228,0.131086,0.5990487774479497,0.4679627774479497,0.934917,0.4636479029639641,-0.4712690970360359
