target,day_type,intercept,sin_hour_coef,cos_hour_coef,formula
rental_count,weekday,2.0458839406207834,-1.1217493419320825,-0.8174980948518037,2.045884 + (-1.121749 * sin(2pi*hour/24)) + (-0.817498 * cos(2pi*hour/24))
rental_count,offday,1.4904661016949157,-0.871654046534494,-0.7086641046917629,1.490466 + (-0.871654 * sin(2pi*hour/24)) + (-0.708664 * cos(2pi*hour/24))
return_count,weekday,2.3308029689608647,-0.5299376035209902,-0.38572175216500687,2.330803 + (-0.529938 * sin(2pi*hour/24)) + (-0.385722 * cos(2pi*hour/24))
return_count,offday,1.6175847457627124,-1.3111356377991858,-0.27126693198364726,1.617585 + (-1.311136 * sin(2pi*hour/24)) + (-0.271267 * cos(2pi*hour/24))
