target,day_type,intercept,sin_hour_coef,cos_hour_coef,formula
rental_count,weekday,2.040485829959515,-0.9615575812912306,-0.9555962418790163,2.040486 + (-0.961558 * sin(2pi*hour/24)) + (-0.955596 * cos(2pi*hour/24))
rental_count,offday,1.4968220338983056,-1.162517950653688,-0.7016735510375136,1.496822 + (-1.162518 * sin(2pi*hour/24)) + (-0.701674 * cos(2pi*hour/24))
return_count,weekday,2.0797908232118765,-2.1695336687974436,-0.6275105073059731,2.079791 + (-2.169534 * sin(2pi*hour/24)) + (-0.627511 * cos(2pi*hour/24))
return_count,offday,1.3884180790960459,-1.2412288550886748,-0.5160846152984608,1.388418 + (-1.241229 * sin(2pi*hour/24)) + (-0.516085 * cos(2pi*hour/24))
