target,granularity,year,key,series,value
rental_count,month,2024,2,actual_value,1.1221264367816093
rental_count,month,2024,2,prediction,1.1098372088283852
rental_count,month,2024,3,actual_value,1.6048387096774193
rental_count,month,2024,3,prediction,1.6507296346046272
rental_count,month,2024,4,actual_value,2.547222222222222
rental_count,month,2024,4,prediction,2.1775545416122433
rental_count,month,2024,5,actual_value,2.775537634408602
rental_count,month,2024,5,prediction,2.175819486140761
rental_count,month,2024,6,actual_value,2.725
rental_count,month,2024,6,prediction,2.2656814826160416
rental_count,month,2024,7,actual_value,1.6209677419354838
rental_count,month,2024,7,prediction,1.9453105553613408
rental_count,month,2024,8,actual_value,1.6478494623655915
rental_count,month,2024,8,prediction,1.920415281002226
rental_count,month,2024,9,actual_value,1.8944444444444444
rental_count,month,2024,9,prediction,2.09942260023398
rental_count,month,2024,10,actual_value,2.293010752688172
rental_count,month,2024,10,prediction,2.190740243580681
rental_count,month,2024,11,actual_value,1.7944444444444445
rental_count,month,2024,11,prediction,1.7777759401527053
rental_count,month,2024,12,actual_value,1.1048387096774193
rental_count,month,2024,12,prediction,1.1626970094684836
rental_count,hour,2025,0,actual_value,0.589041095890411
rental_count,hour,2025,0,prediction,0.5926874338132508
rental_count,hour,2025,1,actual_value,0.410958904109589
rental_count,hour,2025,1,prediction,0.46016727912081173
rental_count,hour,2025,2,actual_value,0.29041095890410956
rental_count,hour,2025,2,prediction,0.3785345415590252
rental_count,hour,2025,3,actual_value,0.29863013698630136
rental_count,hour,2025,3,prediction,0.6220849908653283
rental_count,hour,2025,4,actual_value,0.1643835616438356
rental_count,hour,2025,4,prediction,0.2892642739437534
rental_count,hour,2025,5,actual_value,0.1232876712328767
rental_count,hour,2025,5,prediction,0.17201716340436843
rental_count,hour,2025,6,actual_value,0.4684931506849315
rental_count,hour,2025,6,prediction,0.6644923093937253
rental_count,hour,2025,7,actual_value,1.484931506849315
rental_count,hour,2025,7,prediction,1.8868337763311898
rental_count,hour,2025,8,actual_value,1.5616438356164384
rental_count,hour,2025,8,prediction,1.6785993643900923
rental_count,hour,2025,9,actual_value,1.1452054794520548
