target,time,split,day_type,month,hour,actual_value,pattern_prior,prediction,abs_error
rental_count,2025-03-22 15:00:00,test,offday,3,15,15,1.7588305563951578,1.8790795329815264,13.120920467018474
rental_count,2025-03-23 16:00:00,test,offday,3,16,14,1.899614705133531,2.08033260835435,11.91966739164565
rental_count,2025-05-25 17:00:00,test,offday,5,17,15,3.7780584394198207,3.867479142530724,11.132520857469276
rental_count,2025-03-15 15:00:00,test,offday,3,15,13,1.7588305563951578,1.8790795329815264,11.120920467018474
rental_count,2025-04-20 18:00:00,test,offday,4,18,14,3.0495013141153318,3.252932564826097,10.747067435173904
rental_count,2025-09-07 21:00:00,test,offday,9,21,14,3.150790591340049,3.3915409671107524,10.608459032889247
rental_count,2025-05-04 19:00:00,test,offday,5,19,14,3.681874157104897,3.9312508057978275,10.068749194202173
rental_count,2025-07-13 21:00:00,test,offday,7,21,12,2.30733442978415,2.567073140510917,9.432926859489083
rental_count,2025-06-07 20:00:00,test,offday,6,20,13,3.598380472664905,3.791836841586172,9.208163158413829
rental_count,2025-05-11 17:00:00,test,offday,5,17,13,3.7780584394198207,3.867479142530724,9.132520857469276
rental_count,2025-04-20 16:00:00,test,offday,4,16,12,2.915893294369066,2.9938840975850964,9.006115902414903
rental_count,2025-05-28 19:00:00,test,weekday,5,19,11,2.3492718385095595,2.5067481737820163,8.493251826217984
rental_count,2025-05-25 16:00:00,test,offday,5,16,12,3.6295839080528296,3.635433698144181,8.364566301855819
rental_count,2025-03-23 15:00:00,test,offday,3,15,10,1.7588305563951578,1.8790795329815264,8.120920467018474
rental_count,2025-05-18 19:00:00,test,offday,5,19,12,3.681874157104897,3.9312508057978275,8.068749194202173
rental_count,2025-04-26 16:00:00,test,offday,4,16,11,2.915893294369066,2.9938840975850964,8.006115902414903
rental_count,2025-09-21 18:00:00,test,offday,9,18,12,3.860815767168357,4.01217594194531,7.98782405805469
rental_count,2025-08-08 21:00:00,test,weekday,8,21,10,1.9031557800141596,2.0633376691671272,7.936662330832872
rental_count,2025-08-04 20:00:00,test,weekday,8,20,10,2.069144998821459,2.201970111302102,7.798029888697898
rental_count,2025-08-11 20:00:00,test,weekday,8,20,10,2.069144998821459,2.201970111302102,7.798029888697898
rental_count,2025-09-29 21:00:00,test,weekday,9,21,10,2.0905464677630152,2.2495485263685,7.7504514736315
rental_count,2025-09-10 20:00:00,test,weekday,9,20,10,2.272879505714201,2.399736618157552,7.600263381842447
rental_count,2025-05-13 18:00:00,test,weekday,5,18,10,2.3914187353639473,2.4866305748405555,7.5133694251594445
rental_count,2025-08-09 22:00:00,test,offday,8,22,10,2.4699859846778267,2.4899326734062703,7.510067326593729
rental_count,2025-05-14 19:00:00,test,weekday,5,19,10,2.3492718385095595,2.5067481737820163,7.493251826217984
rental_count,2025-09-27 20:00:00,test,offday,9,20,11,3.5026697861190303,3.700419324988502,7.299580675011498
rental_count,2025-03-24 13:00:00,test,weekday,3,13,8,0.8315090068491846,0.8318220373081004,7.1681779626918996
rental_count,2025-05-18 17:00:00,test,offday,5,17,11,3.7780584394198207,3.867479142530724,7.1325208574692756
rental_count,2025-04-23 20:00:00,test,weekday,4,20,9,1.7952550594209742,1.936103236788787,7.063896763211213
rental_count,2025-05-04 18:00:00,test,offday,5,18,11,3.795893669591199,3.9514206177566957,7.048579382243304
rental_count,2025-04-30 18:00:00,test,weekday,4,18,9,1.9211904259893997,2.039375672840176,6.960624327159824
rental_count,2025-07-12 22:00:00,test,offday,7,22,9,1.9868770011447097,2.0510861812635635,6.948913818736436
rental_count,2025-04-17 19:00:00,test,weekday,4,19,9,1.8873309376762877,2.055058234366579,6.944941765633422
rental_count,2025-10-08 22:00:00,test,offday,10,22,9,2.217725074156496,2.2607839316929574,6.739216068307043
rental_count,2025-10-08 14:00:00,test,offday,10,14,9,2.4852912923883346,2.370575519148643,6.629424480851357
rental_count,2025-09-15 20:00:00,test,weekday,9,20,9,2.272879505714201,2.399736618157552,6.600263381842447
rental_count,2025-11-05 19:00:00,test,weekday,11,19,8,1.2840948723817216,1.4652086209320363,6.534791379067964
rental_count,2025-09-11 18:00:00,test,weekday,9,18,9,2.4323197547283444,2.5255333398226782,6.474466660177322
rental_count,2025-07-06 21:00:00,test,offday,7,21,9,2.30733442978415,2.567073140510917,6.432926859489083
rental_count,2025-04-06 15:00:00,test,offday,4,15,9,2.699790758338833,2.7053487608019537,6.294651239198046
rental_count,2025-06-03 16:00:00,test,offday,6,16,10,3.7925364687900216,3.7819147478408057,6.218085252159194
rental_count,2025-06-22 16:00:00,test,offday,6,16,10,3.7925364687900216,3.7819147478408057,6.218085252159194
rental_count,2025-06-01 20:00:00,test,offday,6,20,10,3.598380472664905,3.791836841586172,6.208163158413829
rental_count,2025-06-26 22:00:00,test,weekday,6,22,8,1.9055632722980844,1.8965403917027612,6.103459608297239
rental_count,2025-07-04 18:00:00,test,weekday,7,18,8,1.7811958464500677,1.9062206485590338,6.093779351440967
rental_count,2025-06-01 14:00:00,test,offday,6,14,9,3.123614661189843,2.907278797686451,6.092721202313549
rental_count,2025-04-29 20:00:00,test,weekday,4,20,8,1.7952550594209742,1.936103236788787,6.063896763211213
rental_count,2025-05-25 18:00:00,test,offday,5,18,10,3.795893669591199,3.9514206177566957,6.048579382243304
rental_count,2025-04-10 17:00:00,test,weekday,4,17,8,1.894526056187224,1.976974250069985,6.0230257499300155
rental_count,2025-04-06 13:00:00,test,offday,4,13,8,2.0416201646799217,1.9825216090647397,6.01747839093526
rental_count,2025-04-20 13:00:00,test,offday,4,13,8,2.0416201646799217,1.9825216090647397,6.01747839093526
rental_count,2025-04-24 18:00:00,test,weekday,4,18,8,1.9211904259893997,2.039375672840176,5.960624327159824
rental_count,2025-07-05 22:00:00,test,offday,7,22,8,1.9868770011447097,2.0510861812635635,5.948913818736436
rental_count,2025-07-27 22:00:00,test,offday,7,22,8,1.9868770011447097,2.0510861812635635,5.948913818736436
rental_count,2025-04-29 19:00:00,test,weekday,4,19,8,1.8873309376762877,2.055058234366579,5.944941765633422
rental_count,2025-11-09 20:00:00,test,offday,11,20,8,1.8823396723182337,2.1527702544629186,5.847229745537081
