target,time,split,day_type,month,hour,actual_value,pattern_prior,prediction,abs_error
rental_count,2025-04-20 16:00:00,test,offday,4,16,6,2.7307148182173857,2.1895767780914195,3.8104232219085805
rental_count,2025-06-13 19:00:00,test,weekday,6,19,0,3.489933322398036,3.806649917269376,3.806649917269376
rental_count,2025-06-20 19:00:00,test,weekday,6,19,0,3.489933322398036,3.806649917269376,3.806649917269376
rental_count,2025-12-22 14:00:00,test,weekday,12,14,5,1.651471398808939,1.1947918775640507,3.8052081224359493
rental_count,2025-12-30 14:00:00,test,weekday,12,14,5,1.651471398808939,1.1947918775640507,3.8052081224359493
rental_count,2025-08-07 18:00:00,test,weekday,8,18,8,2.9644305671142273,4.1979406272643045,3.8020593727356955
rental_count,2025-08-11 18:00:00,test,weekday,8,18,8,2.9644305671142273,4.1979406272643045,3.8020593727356955
rental_count,2025-08-12 18:00:00,test,weekday,8,18,8,2.9644305671142273,4.1979406272643045,3.8020593727356955
rental_count,2025-08-25 18:00:00,test,weekday,8,18,8,2.9644305671142273,4.1979406272643045,3.8020593727356955
rental_count,2025-08-29 18:00:00,test,weekday,8,18,8,2.9644305671142273,4.1979406272643045,3.8020593727356955
rental_count,2025-09-22 12:00:00,test,weekday,9,12,6,3.0251415728994053,2.2015973024399846,3.7984026975600154
rental_count,2025-09-21 16:00:00,test,offday,9,16,6,2.7465346461876146,2.2021291911872805,3.7978708088127195
rental_count,2025-11-05 17:00:00,test,weekday,11,17,8,2.645223067026771,4.205473407404313,3.7945265925956866
rental_count,2025-11-14 17:00:00,test,weekday,11,17,8,2.645223067026771,4.205473407404313,3.7945265925956866
rental_count,2025-08-31 22:00:00,test,offday,8,22,5,1.2283709109094543,1.2085604509488608,3.7914395490511392
rental_count,2025-09-14 15:00:00,test,offday,9,15,6,2.755247625422791,2.2221906383127346,3.7778093616872654
rental_count,2025-07-14 17:00:00,test,weekday,7,17,1,3.0412053365216503,4.77575516278153,3.77575516278153
rental_count,2025-07-16 17:00:00,test,weekday,7,17,1,3.0412053365216503,4.77575516278153,3.77575516278153
rental_count,2025-08-15 19:00:00,test,offday,8,19,6,2.011145567118836,2.2433687655464567,3.7566312344535433
rental_count,2025-08-03 17:00:00,test,offday,8,17,0,2.354444969110231,3.7263694575365482,3.7263694575365482
rental_count,2025-08-10 17:00:00,test,offday,8,17,0,2.354444969110231,3.7263694575365482,3.7263694575365482
rental_count,2025-08-16 17:00:00,test,offday,8,17,0,2.354444969110231,3.7263694575365482,3.7263694575365482
rental_count,2025-08-30 17:00:00,test,offday,8,17,0,2.354444969110231,3.7263694575365482,3.7263694575365482
rental_count,2025-03-09 14:00:00,test,offday,3,14,5,1.925413766425025,1.2787736426046248,3.721226357395375
rental_count,2025-06-06 17:00:00,test,offday,6,17,1,3.0091221701046678,4.707768543455462,3.7077685434554617
rental_count,2025-05-31 10:00:00,test,offday,5,10,5,1.9021114622468596,1.29553884570911,3.70446115429089
rental_count,2025-10-14 23:00:00,test,weekday,10,23,5,1.59862669465447,1.2959079647308762,3.704092035269124
rental_count,2025-04-14 18:00:00,test,weekday,4,18,1,3.327304678720416,4.671128547821236,3.671128547821236
rental_count,2025-07-05 13:00:00,test,offday,7,13,5,2.1851779958348683,1.3425586907675615,3.6574413092324383
rental_count,2025-05-01 19:00:00,test,weekday,5,19,0,3.326638510447392,3.6387784110155037,3.6387784110155037
rental_count,2025-05-16 19:00:00,test,weekday,5,19,0,3.326638510447392,3.6387784110155037,3.6387784110155037
rental_count,2025-10-17 17:00:00,test,weekday,10,17,9,3.453447343283079,5.369453702759149,3.6305462972408513
rental_count,2025-04-03 19:00:00,test,weekday,4,19,7,3.0649058713904154,3.3697101422233793,3.6302898577766207
rental_count,2025-07-13 17:00:00,test,offday,7,17,0,2.29008772531413,3.629894217314625,3.629894217314625
rental_count,2025-07-19 17:00:00,test,offday,7,17,0,2.29008772531413,3.629894217314625,3.629894217314625
rental_count,2025-07-26 17:00:00,test,offday,7,17,0,2.29008772531413,3.629894217314625,3.629894217314625
rental_count,2025-04-26 22:00:00,test,offday,4,22,5,1.3787350341120665,1.373586599695808,3.626413400304192
rental_count,2025-05-18 16:00:00,test,offday,5,16,6,2.9639086668623333,2.3746069519411996,3.6253930480588004
rental_count,2025-08-17 13:00:00,test,offday,8,13,5,2.2465870115076325,1.3817480951433914,3.6182519048566086
rental_count,2025-09-30 19:00:00,test,weekday,9,19,7,3.0826617656738002,3.3879636842840863,3.6120363157159137
rental_count,2025-05-25 15:00:00,test,offday,5,15,6,2.9733112333674305,2.3960656508524023,3.6039343491475977
rental_count,2025-10-13 18:00:00,test,weekday,10,18,1,3.274250874976729,4.601946376186034,3.601946376186034
rental_count,2025-11-08 01:00:00,test,offday,11,1,4,0.4594892586468969,0.434266314534521,3.565733685465479
rental_count,2025-09-06 18:00:00,test,offday,9,18,0,2.495562161132551,3.5515072417808264,3.5515072417808264
rental_count,2025-04-10 17:00:00,test,weekday,4,17,9,3.5094047285249776,5.450041846068636,3.549958153931364
rental_count,2025-03-25 18:00:00,test,weekday,3,18,7,2.4011695003370055,3.46344807352643,3.53655192647357
rental_count,2025-04-05 18:00:00,test,offday,4,18,0,2.48118791534143,3.531834965598173,3.531834965598173
rental_count,2025-04-12 18:00:00,test,offday,4,18,0,2.48118791534143,3.531834965598173,3.531834965598173
rental_count,2025-04-19 18:00:00,test,offday,4,18,0,2.48118791534143,3.531834965598173,3.531834965598173
rental_count,2025-10-25 19:00:00,test,offday,10,19,6,2.2213355933833485,2.474909101584471,3.525090898415529
rental_count,2025-09-10 17:00:00,test,weekday,9,17,9,3.529735734425995,5.479321949313174,3.5206780506868256
rental_count,2025-09-25 17:00:00,test,weekday,9,17,9,3.529735734425995,5.479321949313174,3.5206780506868256
rental_count,2025-12-10 15:00:00,test,weekday,12,15,5,1.7024923903327316,1.4867461768202779,3.5132538231797223
rental_count,2025-12-29 15:00:00,test,weekday,12,15,5,1.7024923903327316,1.4867461768202779,3.5132538231797223
rental_count,2025-05-06 17:00:00,test,offday,5,17,1,2.8683246265670403,4.496704861510274,3.496704861510274
rental_count,2025-05-10 17:00:00,test,offday,5,17,1,2.8683246265670403,4.496704861510274,3.496704861510274
rental_count,2025-05-11 17:00:00,test,offday,5,17,1,2.8683246265670403,4.496704861510274,3.496704861510274
rental_count,2025-05-17 17:00:00,test,offday,5,17,1,2.8683246265670403,4.496704861510274,3.496704861510274
rental_count,2025-07-07 07:00:00,test,weekday,7,7,5,1.0686029355508964,1.5090826531666146,3.4909173468333856
rental_count,2025-06-10 23:00:00,test,weekday,6,23,5,1.8498123202461987,1.510674783373713,3.4893252166262867
