station_id,mapped_dong_code,mapped_dong_name,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,dominant_ratio,district_hypothesis,life_pop_7_10_mean,life_pop_11_14_mean,life_pop_17_20_mean,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow,subway_distance_m,bus_stop_count_300m,cluster
2301,11680510,신사동, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,20904,1557,2642,7844,0.3752391886720245,주거지구 후보,34711.2626499658,47294.58111371408,44266.38985273598,0.074483352468427,0.126387294297742,0.3752391886720245,7.0,1754.0,676.3932200344976,20,2
2302,11680521,논현1동, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,15397,2021,2543,5845,0.3796194063778658,주거지구 후보,43807.05390064979,51912.863196648424,45663.3832001026,0.1312593362343313,0.1651620445541339,0.3796194063778658,-125.0,1922.0,129.30158007069147,40,2
2303,11680521,논현1동, 논현역 10번출구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,16447,1931,2601,5912,0.3594576518514015,주거지구 후보,43807.05390064979,51912.863196648424,45663.3832001026,0.1174074299264303,0.1581443424332705,0.3594576518514015,-2241.0,910.0,31.250221522971053,40,2
2304,11680531,논현2동, 대현그린타워,서울특별시 강남구 언주로 626,37.5116272,127.03565216,2526,407,461,807,0.3194774346793349,주거지구 후보,48771.59621426129,62230.2112386115,48357.27645215458,0.1611243072050673,0.1825019794140934,0.3194774346793349,-751.0,-1352.0,455.99558563352826,12,3
2305,11680531,논현2동, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,37.52064133,127.03450775,5223,2204,1069,890,0.4219797051502967,업무/상업지구 후보,48771.59621426129,62230.2112386115,48357.27645215458,0.4219797051502967,0.2046716446486693,0.170400153168677,1661.0,-1498.0,683.8902474091004,16,0
2306,11680545,압구정동, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,30355,3086,5632,12826,0.4225333552956679,주거지구 후보,40653.44209463064,53924.654357660744,48026.726367510266,0.1016636468456596,0.1855378026684236,0.4225333552956679,-3991.0,3268.0,23.266637636051197,24,2
2307,11680545,압구정동, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,6354,589,1229,2140,0.3367957192319799,주거지구 후보,40653.44209463064,53924.654357660744,48026.726367510266,0.0926975133774,0.1934214667925716,0.3367957192319799,-501.0,-139.0,173.99806305580933,20,3
2308,11680545,압구정동, 압구정파출소 앞,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,16430,1507,3429,5488,0.3340231284236153,주거지구 후보,40653.44209463064,53924.654357660744,48026.726367510266,0.0917224589166159,0.2087035909920876,0.3340231284236153,-1320.0,689.0,484.7372548025296,20,3
2309,11680565,청담동, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,37.51890182,127.04938507,3851,397,713,1215,0.3155024668917164,주거지구 후보,44485.18132588919,53001.089906737354,42721.22389463064,0.103090106465853,0.1851467151389249,0.3155024668917164,-2290.0,-617.0,353.45653787576214,32,3
2310,11680565,청담동, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,7677,1128,1410,1759,0.2291259606617168,주거지구 후보,44485.18132588919,53001.089906737354,42721.22389463064,0.1469323954669792,0.1836654943337241,0.2291259606617168,613.0,-454.0,420.1698862481745,28,3
