scope,cluster,cluster_name,variant,rmse,mae,r2,nrmse_std,nmae_std
cluster,0,업무/상업 혼합형,global_shared_model,1.0800301581740555,0.6244875343996861,0.2171568734081658,0.8847842260075811,0.5115937880006525
cluster,0,업무/상업 혼합형,cluster_specific_model,1.0706709118858408,0.623082187379473,0.23066589527079817,0.877116927626643,0.5104424971166521
cluster,1,아침 도착 업무 집중형,global_shared_model,1.7922707705989822,0.9709710213818933,0.6474384057854501,0.5937689737722492,0.3216771016891832
cluster,1,아침 도착 업무 집중형,cluster_specific_model,1.7315547766289228,0.9907302588841339,0.6709209563428853,0.5736541150005939,0.32822322316072094
cluster,2,주거 도착형,global_shared_model,1.1777509062510652,0.6963577802448129,0.22435972321788822,0.880704420780384,0.5207258786652853
cluster,2,주거 도착형,cluster_specific_model,1.1659812668014637,0.694311313484722,0.23978470284584208,0.871903261350798,0.5191955615897254
cluster,3,생활·상권 혼합형,global_shared_model,1.0019553319361816,0.5937498955631529,0.07883628070317028,0.9597727435684085,0.5687528656161692
cluster,3,생활·상권 혼합형,cluster_specific_model,0.9992133067951577,0.5936242177828439,0.08387123141859198,0.9571461584216949,0.5686324789041391
cluster,4,외곽 주거형,global_shared_model,0.9378188152978578,0.540996142941194,0.14860290685391941,0.9227118147862208,0.532281422277789
cluster,4,외곽 주거형,cluster_specific_model,0.9329959955704573,0.5446768875310197,0.1573371666954383,0.9179666842018624,0.5359028750198774
overall,-1,overall,global_shared_model,1.0738861729316707,0.6237434241634104,0.2248654642079393,0.8804172509623268,0.5113712092116862
overall,-1,overall,cluster_specific_model,1.0652863006422524,0.6236653544975642,0.23723058574622957,0.8733667123572838,0.5113072044015673
