cluster,cluster_name,model,selection_rmse,selection_mae,selection_r2,train_rows,eval_rows,feature_variant
0,업무/상업 혼합형,hist_gbm_focus,1.1333927379137638,0.675293249980975,0.19208009163205242,421008,430416,enhanced_cluster
0,업무/상업 혼합형,lightgbm_balanced,1.130393069128732,0.673835454038348,0.196350959104716,421008,430416,enhanced_cluster
0,업무/상업 혼합형,lightgbm_leafy,1.1325240035674042,0.6736634217988067,0.1933181422435961,421008,430416,enhanced_cluster
0,업무/상업 혼합형,lightgbm_regularized,1.1311091931678783,0.6747247260263525,0.19533238474930825,421008,430416,enhanced_cluster
0,업무/상업 혼합형,xgboost_balanced,1.1357131004333496,0.6800562739372253,0.18876862525939941,421008,430416,enhanced_cluster
0,업무/상업 혼합형,xgboost_deep,1.133297324180603,0.6756440997123718,0.192216157913208,421008,430416,enhanced_cluster
0,업무/상업 혼합형,xgboost_regularized,1.1355960369110107,0.6771883368492126,0.18893593549728394,421008,430416,enhanced_cluster
1,아침 도착 업무 집중형,hist_gbm_focus,1.9665303393933922,1.1439323425653312,0.6776751931039282,25776,26352,enhanced_cluster
1,아침 도착 업무 집중형,lightgbm_balanced,1.9629359219178912,1.1564021095818242,0.678852404642877,25776,26352,enhanced_cluster
1,아침 도착 업무 집중형,lightgbm_leafy,1.973105837054079,1.1601772798636034,0.6755160711493928,25776,26352,enhanced_cluster
1,아침 도착 업무 집중형,lightgbm_regularized,1.9467288063782233,1.146062536256475,0.6841336661615485,25776,26352,enhanced_cluster
1,아침 도착 업무 집중형,xgboost_balanced,1.9497424364089966,1.1474246978759766,0.6831549406051636,25776,26352,enhanced_cluster
1,아침 도착 업무 집중형,xgboost_deep,1.9451237916946411,1.1403831243515015,0.6846542954444885,25776,26352,enhanced_cluster
1,아침 도착 업무 집중형,xgboost_regularized,1.9393088817596436,1.1331679821014404,0.6865369081497192,25776,26352,enhanced_cluster
2,주거 도착형,hist_gbm_focus,1.307269250946133,0.7903410137382753,0.24532464752426508,274944,281088,enhanced_cluster
2,주거 도착형,lightgbm_balanced,1.3047104597353065,0.7908794402276544,0.248276092721881,274944,281088,enhanced_cluster
2,주거 도착형,lightgbm_leafy,1.3067146041878146,0.7914461816883166,0.24596489732831062,274944,281088,enhanced_cluster
2,주거 도착형,lightgbm_regularized,1.3050552541988474,0.7915987093018432,0.24787872564725844,274944,281088,enhanced_cluster
2,주거 도착형,xgboost_balanced,1.307597041130066,0.793050229549408,0.2449461817741394,274944,281088,enhanced_cluster
2,주거 도착형,xgboost_deep,1.3072084188461304,0.7930864095687866,0.24539482593536377,274944,281088,enhanced_cluster
2,주거 도착형,xgboost_regularized,1.3067185878753662,0.7920243740081787,0.24596035480499268,274944,281088,enhanced_cluster
3,생활·상권 혼합형,hist_gbm_focus,1.0703530636428822,0.6423749283401131,0.07910364908250067,524112,535824,enhanced_cluster
3,생활·상권 혼합형,lightgbm_balanced,1.0677135755488376,0.6443355525151652,0.08363990537509769,524112,535824,enhanced_cluster
3,생활·상권 혼합형,lightgbm_leafy,1.0691680243114543,0.6471024889561563,0.08114165750905766,524112,535824,enhanced_cluster
3,생활·상권 혼합형,lightgbm_regularized,1.0675631412313349,0.6446064851526495,0.08389810625841632,524112,535824,enhanced_cluster
3,생활·상권 혼합형,xgboost_balanced,1.071056604385376,0.6469806432723999,0.07789254188537598,524112,535824,enhanced_cluster
3,생활·상권 혼합형,xgboost_deep,1.0690311193466187,0.646742045879364,0.08137679100036621,524112,535824,enhanced_cluster
3,생활·상권 혼합형,xgboost_regularized,1.0705353021621704,0.6453781723976135,0.07878988981246948,524112,535824,enhanced_cluster
4,외곽 주거형,hist_gbm_focus,1.0071310087733438,0.5935817837629549,0.19837756409782614,163248,166896,enhanced_cluster
4,외곽 주거형,lightgbm_balanced,1.0092385657415346,0.5983290893183028,0.19501904836923545,163248,166896,enhanced_cluster
4,외곽 주거형,lightgbm_leafy,1.0115192206880934,0.6018200670329054,0.19137678142390868,163248,166896,enhanced_cluster
4,외곽 주거형,lightgbm_regularized,1.0080153797195157,0.5969723201676066,0.19696912200719607,163248,166896,enhanced_cluster
4,외곽 주거형,xgboost_balanced,1.009058952331543,0.5999828577041626,0.19530552625656128,163248,166896,enhanced_cluster
4,외곽 주거형,xgboost_deep,1.008559226989746,0.5992431044578552,0.19610244035720825,163248,166896,enhanced_cluster
4,외곽 주거형,xgboost_regularized,1.0083158016204834,0.5965935587882996,0.1964903473854065,163248,166896,enhanced_cluster
