cluster,cluster_name,best_model,feature,importance_mean,importance_std
0,업무/상업 혼합형,lightgbm_regularized,return_count_lag_24,-0.002367999480105132,0.000436364396368516
1,아침 도착 업무 집중형,xgboost_regularized,hour_sin,0.4103356599807739,0.005309343338012695
1,아침 도착 업무 집중형,xgboost_regularized,hour,0.30549168586730957,0.023250699043273926
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_lag_1,0.18522632122039795,0.012795329093933105
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_lag_168,0.16841894388198853,0.0012043118476867676
1,아침 도착 업무 집중형,xgboost_regularized,is_weekend_or_holiday,0.12428152561187744,0.02485835552215576
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_lag_24,0.08308601379394531,0.0010669231414794922
1,아침 도착 업무 집중형,xgboost_regularized,is_commute_hour,0.07142573595046997,0.004565060138702393
1,아침 도착 업무 집중형,xgboost_regularized,return_count_lag_1,0.05463379621505737,0.008990466594696045
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_rollstd_24,0.053479790687561035,0.002583026885986328
1,아침 도착 업무 집중형,xgboost_regularized,hour_cos,0.04840278625488281,0.002444744110107422
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_rollmean_24,0.04735088348388672,0.002172231674194336
1,아침 도착 업무 집중형,xgboost_regularized,lat,0.03736388683319092,0.0020188093185424805
1,아침 도착 업무 집중형,xgboost_regularized,station_id,0.025132060050964355,0.0073136091232299805
1,아침 도착 업무 집중형,xgboost_regularized,return_count_lag_24,0.024675726890563965,0.00046622753143310547
1,아침 도착 업무 집중형,xgboost_regularized,precipitation,0.024576783180236816,0.0014933347702026367
1,아침 도착 업무 집중형,xgboost_regularized,temp_x_commute,0.0229647159576416,0.006228923797607422
1,아침 도착 업무 집중형,xgboost_regularized,bike_change_rollmean_3,0.014517605304718018,0.0011633038520812988
1,아침 도착 업무 집중형,xgboost_regularized,rental_count_lag_1,0.009825944900512695,0.0034383535385131836
1,아침 도착 업무 집중형,xgboost_regularized,humidity,0.008550167083740234,0.0043479204177856445
