cluster,cluster_name,model,selection_rmse,selection_mae,selection_r2,test_rmse,test_mae,test_r2,fit_rows,test_rows,feature_count,dropped_corr_features
0,cluster_0,histgbm_deep,0.9871502013589774,0.5948145710825908,0.39327422637679454,0.9463896718408387,0.5708868715260439,0.4046115056796765,38220,421008,20,4
1,cluster_1,extra_trees,1.6954658382195489,0.980533133190767,0.7635690139463509,1.5441427320959242,0.9223150680910054,0.7405433355944476,2340,25776,20,4
2,cluster_2,histgbm_deep,1.173591165183233,0.7258439559196178,0.3987777453280631,1.0432239571449766,0.6622500137327161,0.39725967660301353,25120,274944,20,4
3,cluster_3,histgbm_balanced,0.9346283867999275,0.5958579178363226,0.3043337123597263,0.8804816327951267,0.5682935503063559,0.29513391758303853,47540,524112,20,4
4,cluster_4,histgbm_deep,0.8924559871748887,0.534558269039915,0.37764781931016034,0.8170214534583086,0.515861814626651,0.360102544951303,14740,163248,20,4
