cluster,cluster_name,model,feature_variant,selection_rmse,selection_mae,selection_r2,test_rmse,test_mae,test_r2,train_rows,eval_rows
0,업무/상업 혼합형,lightgbm_balanced,enhanced_cluster,1.130393069128732,0.673835454038348,0.196350959104716,1.0706709118858408,0.623082187379473,0.23066589527079817,600000,429240
1,아침 도착 업무 집중형,xgboost_regularized,enhanced_cluster,1.9393088817596436,1.1331679821014404,0.6865369081497192,1.7315547466278076,0.9907302260398865,0.6709209680557251,52128,26280
2,주거 도착형,lightgbm_balanced,enhanced_cluster,1.3047104597353065,0.7908794402276544,0.248276092721881,1.1659812668014637,0.694311313484722,0.23978470284584208,556032,280320
3,생활·상권 혼합형,lightgbm_regularized,enhanced_cluster,1.0675631412313349,0.6446064851526495,0.08389810625841632,0.9992133067951577,0.5936242177828439,0.08387123141859198,600000,534360
4,외곽 주거형,hist_gbm_focus,enhanced_cluster,1.0071310087733438,0.5935817837629549,0.19837756409782614,0.9329959955704573,0.5446768875310197,0.1573371666954383,330144,166440
