feature_variant,probe_model,feature_count,dropped_corr_features,train_rows,eval_rows,rmse,mae,r2,nrmse_std,nmae_std
compact_safe_with_cluster,lightgbm_balanced,25,4,140000,1568112,0.9751785700546491,0.5806288072814405,0.4116430138232555,0.7670443182630201,0.4567040758700271
compact_safe_without_cluster,lightgbm_balanced,20,4,140000,1568112,0.976406547550466,0.5813652799518317,0.4101603232638352,0.7680102061424762,0.4572833617513277
