target,feature,importance_mean,importance_std
bike_change,bike_change_lag_168,0.057777006692121935,0.004236897525276483
bike_change,bike_change_lag_24,0.035288929831123715,0.0019416656808542247
bike_change,hour_sin,0.028664693995439066,0.005827510950224723
bike_change,is_weekend_or_holiday,0.008634114412650865,0.0037181383329670994
bike_change,bike_change_rollmean_24,0.0070083451262540715,0.0032615840236830985
bike_change,hour,0.006306598753905046,0.0012838464544627586
bike_change,return_count_lag_24,0.00552791055964974,0.0005784484998615515
bike_change,is_commute_hour,0.005391622569641689,0.000896709526583144
bike_change,bike_change_rollstd_168,0.004863132194014537,0.0003967872639823531
bike_change,bike_change_rollmean_3,0.004686130080064688,0.00043249710070745193
bike_change,rental_count_lag_1,0.004149222685346121,2.5521165506773713e-05
bike_change,bike_change_lag_1,0.003940660532376554,0.00022374775605090905
bike_change,bike_change_rollmean_168,0.003488379491097889,0.0018506488402510012
bike_change,hour_cos,0.0034882726545742613,0.0003242505009569409
bike_change,bike_count_index_lag_24,0.00243605771915704,0.000660904369108465
bike_change,station_id,0.001791263009685462,0.0001742190147092717
bike_change,dock_total,0.001583732594014453,0.00011508855811644699
bike_change,return_count_lag_1,0.001204259520012944,0.0009424878278643178
bike_change,precipitation,0.0011042441675914727,0.0006984681601623255
bike_change,bike_count_index_lag_1,0.001015093704180477,9.78465252075051e-05
bike_change,weekday_sin,0.0007460013464943108,0.000612997860543869
bike_change,lon,0.0006736359987729775,0.00032898964153455575
bike_change,wind_speed,0.00041441130556396644,0.000263572090932225
bike_change,bike_index_rollmean_3,0.000371599508905233,0.000137732952974526
bike_change,bike_count_index_lag_168,0.0003294694161603366,0.000142737076282833
bike_change,bike_count_index_lag_2,0.0003090769741260028,0.00012121962796226576
bike_change,lcd_count,0.00029683632868830284,4.3183082891826605e-05
bike_change,weekday,0.0002771257175366119,0.00018304242312026947
bike_change,bike_change_rollstd_24,0.00025786515233542734,6.809379565984606e-05
bike_change,bike_index_rollmean_24,0.0001477335733222803,0.0002536116447479648
bike_change,weekday_cos,0.00014057604720655684,6.956925948396558e-05
bike_change,is_lunch_hour,0.00011567275788578375,3.556381861260837e-05
bike_change,temperature,9.818727339775772e-05,0.0001423571761972099
bike_change,humidity,3.398309835215644e-05,0.0002551934951505861
bike_change,is_holiday,2.4981425143029885e-05,0.00019166457001501108
bike_change,is_night_hour,6.163361561117853e-06,3.2755094353205023e-06
bike_change,is_rainy,0.0,0.0
bike_change,is_qr_mixed,0.0,0.0
bike_change,is_weekend,0.0,0.0
bike_change,heavy_rain,0.0,0.0
bike_change,rain_x_night,0.0,0.0
bike_change,year,0.0,0.0
bike_change,is_holiday_eve,0.0,0.0
bike_change,bike_change_lag_2,-5.094976960329234e-07,5.519329023996181e-05
bike_change,month,-7.032904594694855e-06,4.97301453034676e-06
bike_change,rain_x_commute,-1.4777129118866602e-05,4.3739367890097335e-05
bike_change,weekofyear,-3.538743613562545e-05,3.8504889116402515e-05
bike_change,bike_index_rollmean_168,-3.611795299307552e-05,0.0003164770689703018
bike_change,month_cos,-7.070357531254363e-05,1.177813183559502e-05
bike_change,month_sin,-0.0001337088411013839,0.0001969615060107253
bike_change,day,-0.00019271392409988172,5.699745990422642e-05
bike_change,rental_count_lag_24,-0.0004514618590258183,5.599856871279092e-05
bike_change,dayofyear,-0.0005937737662401835,0.00016776044917404825
bike_change,lat,-0.0007905965356741115,0.0004248584934051985
bike_change,temp_x_commute,-0.0010981062041912626,0.000305687174616166
bike_change,qr_count,-0.001586231978030798,0.00017220046356687853
bike_count_index,bike_count_index_lag_1,2363.1409217119217,8.280495396907806
bike_count_index,bike_index_rollmean_3,1073.4516720374424,3.770188528064648
bike_count_index,bike_count_index_lag_2,720.1987220048904,2.5343459724648545
bike_count_index,bike_index_rollmean_24,204.29738024870554,0.7296519609152321
bike_count_index,bike_index_rollmean_168,9.003118952115377,0.026198839566413536
bike_count_index,bike_count_index_lag_168,7.270158251126607,0.02022222646973632
bike_count_index,bike_count_index_lag_24,0.9175431330998739,0.010659934662982436
bike_count_index,bike_change_lag_1,0.07882980505625407,0.0007115758856538763
bike_count_index,month,0.07244992256164551,0.003842270840889484
bike_count_index,dayofyear,0.07195981343587239,0.002357835304184092
bike_count_index,bike_change_lag_168,0.05991168816884359,0.0032924373696154516
bike_count_index,return_count_lag_1,0.03753272692362467,0.0005287569423444963
bike_count_index,bike_change_lag_24,0.0198825200398763,0.002252378884236061
bike_count_index,bike_change_lag_2,0.019269744555155437,0.0011833482616426315
bike_count_index,return_count_lag_24,0.016715606053670246,0.0010181681835853263
bike_count_index,bike_change_rollmean_3,0.015115936597188314,0.00037772815246750886
bike_count_index,bike_change_rollstd_168,0.003458380699157715,0.00018701877150260394
bike_count_index,rental_count_lag_1,0.002958059310913086,0.0005258343877870528
bike_count_index,bike_change_rollmean_24,0.0021270116170247397,5.6054090226418366e-05
bike_count_index,hour_cos,0.0006603002548217773,2.5201043056300687e-05
bike_count_index,day,0.0005551576614379883,0.00017372618072838237
bike_count_index,is_night_hour,0.00040654341379801434,6.529625282542239e-05
bike_count_index,bike_change_rollmean_168,0.00036585330963134766,1.4217759013718609e-05
bike_count_index,is_weekend_or_holiday,0.0002695322036743164,0.00016144303605284693
bike_count_index,hour_sin,0.00025777022043863934,0.00018736637261229555
bike_count_index,station_id,0.00010828177134195964,1.1057728154431746e-05
bike_count_index,is_weekend,6.934007008870442e-05,8.643752246341551e-05
bike_count_index,weekofyear,4.072984059651693e-05,5.780477448489889e-05
bike_count_index,is_lunch_hour,2.1338462829589844e-05,2.8713523313245674e-05
bike_count_index,month_sin,1.5020370483398438e-05,5.0534335001375355e-05
bike_count_index,is_holiday_eve,5.8015187581380206e-06,7.182517705087664e-06
bike_count_index,is_commute_hour,1.1920928955078125e-07,1.2653417053294704e-06
bike_count_index,year,0.0,0.0
bike_count_index,weekday,-1.5497207641601562e-06,5.150429962800233e-07
bike_count_index,weekday_cos,-1.9868214925130207e-05,8.169291995656852e-06
bike_count_index,month_cos,-2.276897430419922e-05,4.224787985484445e-06
bike_count_index,hour,-2.8292338053385418e-05,0.00019498056750495753
bike_count_index,is_holiday,-6.59624735514323e-05,5.115956934919174e-05
bike_count_index,weekday_sin,-0.00010530153910319011,0.00010561711330565216
bike_count_index,rental_count_lag_24,-0.003075838088989258,0.00024150472248518295
bike_count_index,bike_change_rollstd_24,-0.0064474741617838545,0.0002779303733564836
