stage,split,rmse,mae,r2,nrmse_std,nmae_std
selection,train,1.0636351259511205,0.6011583633146568,0.25037548570495727,0.8658085898713658,0.4893483320846629
selection,valid,1.1096502288611831,0.6324977631610866,0.2298751323066749,0.8775675858264849,0.5002112563231529
final,test,1.0407500666074676,0.5818816401581056,0.22593196115931602,0.8798113654873322,0.4919010786598378
