scope,cluster,cluster_name,variant,rmse,mae,r2,nrmse_std,nmae_std
cluster,0,업무/상업 혼합형,global_shared_model,1.0910614741820697,0.6296673989814285,0.2010834473475026,0.8938213203165929,0.5158372458708748
cluster,0,업무/상업 혼합형,cluster_specific_model,1.0777028713656054,0.6304775959664337,0.22052703399182705,0.8828776619714496,0.5165009768851119
cluster,1,아침 도착 업무 집중형,global_shared_model,1.8176547440137374,0.9866951908212054,0.6373810085832702,0.60217853782473,0.32688642837383414
cluster,1,아침 도착 업무 집중형,cluster_specific_model,1.7291091832970422,0.9902731005958102,0.6718498616171518,0.5728439040287051,0.3280717692553388
cluster,2,주거 도착형,global_shared_model,1.1930743070573537,0.7031397417881635,0.20404512875159175,0.892163029523421,0.5257973275438974
cluster,2,주거 도착형,cluster_specific_model,1.1707067970773923,0.6966543318073437,0.23361016085293507,0.8754369418450796,0.5209476354652368
cluster,3,생활·상권 혼합형,global_shared_model,1.0065581953445404,0.5959453040394,0.07035340796940126,0.9641818251920117,0.5708558468063878
cluster,3,생활·상권 혼합형,cluster_specific_model,1.0049115908424087,0.5977712984049574,0.07339249344668919,0.9626045431813165,0.5726049663191157
cluster,4,외곽 주거형,global_shared_model,0.944589092483694,0.542333446913833,0.13626576756379694,0.9293730319071042,0.5335971840810139
cluster,4,외곽 주거형,cluster_specific_model,0.9350738091603936,0.5445729920511954,0.1535797101839932,0.9200110270078325,0.5358006531565782
overall,-1,overall,global_shared_model,1.08354385769197,0.6278735298630553,0.21086087639662254,0.8883350289183566,0.5147572443408457
overall,-1,overall,cluster_specific_model,1.0705352840926277,0.6278542449612975,0.2296952820453554,0.8776700507335571,0.5147414337636926
