cluster,cluster_name,model,train_rows,eval_rows,selection_stage,rmse,mae,r2,nrmse_std,nmae_std,feature_set,selection_rmse,selection_mae,selection_r2,test_rmse,test_mae,test_r2,fit_period,test_split
0,업무/상업 혼합형,lightgbm_regularized,220000,429240,valid_2024,1.0777028713656054,0.6304775959664337,0.22052703399182705,0.8997051418286186,0.5371010627851938,enhanced_no_cluster,1.1344790311870798,0.677255097286269,0.19053065776714517,1.0777028713656054,0.6304775959664337,0.22052703399182705,train_valid_2023_2024,test_2025
1,아침 도착 업무 집중형,xgboost_regularized,52128,26280,valid_2024,1.729109287261963,0.990273118019104,0.6718498468399048,0.5616618144510301,0.32935465400509367,enhanced_no_cluster,1.9454885721206665,1.1408212184906006,0.6845359802246094,1.729109287261963,0.990273118019104,0.6718498468399048,train_valid_2023_2024,test_2025
2,주거 도착형,lightgbm_regularized,220000,280320,valid_2024,1.1707067970773923,0.6966543318073437,0.23361016085293507,0.8661724351742399,0.5260125777343421,enhanced_no_cluster,1.303434829147649,0.7915549913000361,0.24974531254432697,1.1707067970773923,0.6966543318073437,0.23361016085293507,train_valid_2023_2024,test_2025
3,생활·상권 혼합형,lightgbm_balanced,220000,534360,valid_2024,1.0049115908424087,0.5977712984049574,0.07339249344668919,0.9641338271000691,0.5841989983891017,enhanced_no_cluster,1.0753726850264993,0.6516021197773768,0.070445963441374,1.0049115908424087,0.5977712984049574,0.07339249344668919,train_valid_2023_2024,test_2025
4,외곽 주거형,hist_gbm_focus,180000,166440,valid_2024,0.9350738091603936,0.5445729920511954,0.1535797101839932,0.8953337008636354,0.5276908074442269,enhanced_no_cluster,1.0071310087733438,0.5935817837629549,0.19837756409782614,0.9350738091603936,0.5445729920511954,0.1535797101839932,train_valid_2023_2024,test_2025
