stage,split,rmse,mae,r2,nrmse_std,nmae_std,feature_variant,model,feature_count,dropped_corr_features,fit_rows
selection,train,0.6766128860802443,0.39747783813236215,0.5091612316769272,0.700598864060275,0.41156845755320237,compact_safe_with_cluster,lightgbm_balanced,25,4,140000
selection,valid,0.9751785700546491,0.5806288072814405,0.4116430138232555,0.7670443182630201,0.4567040758700271,compact_safe_with_cluster,lightgbm_balanced,25,4,140000
final,test,0.9250543707151937,0.5593493694306756,0.3943862151712345,0.7782119151184972,0.47055865880448655,compact_safe_with_cluster,lightgbm_balanced,25,4,140000
