station_id,cluster,station_name,주소,subway_distance_m,bus_stop_count_300m,arrival_7_10_ratio,arrival_17_20_ratio,center_distance,rental_total_2025,return_total_2025,bike_change_abs_mean_2025,mean_abs_error,max_abs_error,representative_score,usage_score,error_score,selection_score,cluster_name,selection_reason
2335,0, 3호선 매봉역 3번출구앞,서울특별시 강남구 남부순환로 2748,20.048936576497542,44,0.3209379109656118,0.2650046168051708,0.7648380663486349,16974,19159,1.420433789954338,1.3406495949514814,13.20697640268258,0.49155528929914105,0.9999999999410863,0.9999992411088661,0.8220441994499614,업무/상업 혼합형,"usage 16974, center 0.765, mae 1.341"
2340,0, 삼호물산버스정류장(23370) 옆,서울특별시 강남구 논현로 82,1023.7301686184046,40,0.2619875964301921,0.2638935108153078,0.7648380663486349,12637,14757,1.3646118721461187,1.242564762348006,10.077620482202072,0.49155528929914105,0.7444915753066754,0.9255635312654364,0.6921782663957906,업무/상업 혼합형,"usage 12637, center 0.765, mae 1.243"
2414,0, 도곡역 아카데미스위트 앞,언주로30길 21,386.457423869868,36,0.3022329929028908,0.2209451272286654,0.7648380663486349,11818,13224,1.221689497716895,1.1404624843466944,10.641378891511124,0.49155528929914105,0.6962413101981713,0.8480790177282279,0.654968744389522,업무/상업 혼합형,"usage 11818, center 0.765, mae 1.140"
2377,1, 수서역 5번출구,서울특별시 강남구 수서동 724-4,37.04649532844415,64,0.3664243356573952,0.2206535493635709,2.6481265499512063,15966,18470,1.7406392694063928,1.4283369593886808,14.827412590521314,1.0,0.9999999999321205,0.9999991768044652,0.9999998353303473,아침 도착 업무 집중형,"usage 15966, center 2.648, mae 1.428"
2348,1, 포스코사거리(기업은행),서울특별시 강남구 테헤란로 501,584.3595573163827,48,0.5081210191082802,0.1526539278131634,3.3454107619205278,12923,16931,1.9863013698630136,1.3181888656216736,23.467862902563986,1.4341333830492076e-06,0.7934428454525222,0.9093257578340046,0.53891493396712,아침 도착 업무 집중형,"usage 12923, center 3.345, mae 1.318"
2323,1, 주식회사 오뚜기 정문 앞,서울특별시 강남구 영동대로 308,685.5983061163457,28,0.5844671764822723,0.1108352368656271,3.268810118064416,1234,1282,0.23082191780821917,0.21355974745326184,8.05589763860151,0.1098569746514031,0.0,0.0,0.03844994112799108,아침 도착 업무 집중형,"usage 1234, center 3.269, mae 0.214"
2404,2, 대모산입구역 4번 출구 앞,강남구 일원동 700-1,62.08504272340149,24,0.1452549417774534,0.327505790525748,1.0621534092987617,13681,14097,1.3164383561643835,1.2320787153912156,12.946834891185828,0.31768741901884623,0.9999999999269059,0.9999991665970911,0.761190429943122,주거 도착형,"usage 13681, center 1.062, mae 1.232"
2384,2, 자곡사거리,서울특별시 강남구 밤고개로 206,1211.79104569624,32,0.0928043720271227,0.4224606146476402,1.0621534092987617,12508,12852,1.4203196347031963,1.1921763062270552,11.31663842239313,0.31768741901884623,0.9142606533941773,0.9667443827263563,0.7159567672292473,주거 도착형,"usage 12508, center 1.062, mae 1.192"
2306,2, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,23.2666376360512,24,0.1016636468456596,0.4225333552956679,1.0621534092987617,12541,12933,1.1493150684931508,1.0961405312894479,11.304535185598944,0.31768741901884623,0.9166727577723358,0.8867078885319872,0.7010349153605447,주거 도착형,"usage 12541, center 1.062, mae 1.096"
2332,3, 선릉역3번출구,서울특별시 강남구 선릉로 435,83.24954956357365,36,0.1444265463917525,0.3268363402061855,0.795626104699737,12215,13844,1.1026255707762558,1.114351031981204,10.97916577781278,0.2649855958063929,0.9999999999091157,0.980657509339031,0.7388764603591458,생활·상권 혼합형,"usage 12215, center 0.796, mae 1.114"
2431,3,대치역 7번출구,남부순환로155,85.17955215059632,32,0.1657606957856366,0.28845047003901,0.8066744842735994,11597,12642,1.1302511415525114,1.1315619296133383,14.747032672853985,0.2174897631024887,0.9438334998687782,0.9999988762139379,0.7008462672696087,생활·상권 혼합형,"usage 11597, center 0.807, mae 1.132"
3614,3, 은마아파트 입구 사거리,삼성로237(정성한줄 대치점 앞),484.3137847604151,28,0.1877196918704659,0.2890584099917732,0.795626104699737,10332,10664,0.9872146118721461,1.01011319464524,11.178761708181927,0.2649855958063929,0.8288648549642038,0.8635164805993387,0.638437439385997,생활·상권 혼합형,"usage 10332, center 0.796, mae 1.010"
3643,4, 더시그넘하우스 앞,자곡로 174-14,1534.1276174416805,32,0.178945530726257,0.3249825418994413,0.7312168735101555,4762,4835,0.6231735159817352,0.6472916260716421,6.719537866935496,1.0,0.5860686543991395,0.7105221814839099,0.7558353307763948,외곽 주거형,"usage 4762, center 0.731, mae 0.647"
2387,4, 래미안강남힐즈 사거리,서울특별시 강남구 자곡로 101,1619.261288941875,12,0.1455001750904634,0.3554336407143691,1.3562927798978832,8066,7781,0.8898401826484018,0.8957622096188763,9.40610013773096,0.23313995482718697,0.9999999998747181,0.999998834966098,0.7315987511263582,외곽 주거형,"usage 8066, center 1.356, mae 0.896"
3642,4, LH강남힐스테이트아파트,자곡로3길 21,1493.6372457873142,8,0.0580440462859275,0.4066815976110489,1.3562927798978832,7276,2202,0.8022831050228311,0.8091236116640759,11.234288719964702,0.23313995482718697,0.9010273113378818,0.8990619311270296,0.6668736605169682,외곽 주거형,"usage 7276, center 1.356, mae 0.809"
