target,feature,importance_mean,importance_std
bike_change,bike_change_lag_168,0.052706024894664916,0.004461675069380657
bike_change,hour_sin,0.033374891442159216,0.0066883540512852335
bike_change,bike_change_lag_24,0.03226355859914872,0.0022559939306711816
bike_change,hour,0.007750082337355006,0.0011076829702341663
bike_change,is_weekend_or_holiday,0.0076759228385666995,0.004093016925808523
bike_change,bike_change_lag_1,0.006792598187695213,0.0002478408612830775
bike_change,cluster_2,0.0065676502368262986,0.0010408838801536425
bike_change,bike_change_rollmean_24,0.006550200584060158,0.0023196732071560137
bike_change,return_count_lag_24,0.005329513153475999,0.00044494583466117343
bike_change,cluster,0.005253389318017036,0.002384960414585716
bike_change,rental_count_lag_1,0.005029841335975949,0.00019976175893785867
bike_change,bike_change_rollstd_168,0.004119162608285709,0.0003858839331513198
bike_change,is_commute_hour,0.003836929123470334,0.0005867557606553682
bike_change,bike_change_rollmean_3,0.0036472535931093564,0.00036314712704311553
bike_change,hour_cos,0.003364764158358291,0.0005765212660749893
bike_change,cluster_1,0.0021226901247435315,0.00012202667814840286
bike_change,bike_change_rollmean_168,0.0017703824840304971,0.001417908193542576
bike_change,bike_count_index_lag_24,0.0017003382157323443,0.0006677727733743188
bike_change,bike_change_rollstd_24,0.0013725870739529356,0.00012035781173359958
bike_change,cluster_0,0.0011529152402628788,0.0005970543737520757
bike_change,dock_total,0.0010408351939838283,0.00015752462645914569
bike_change,precipitation,0.0008916521944093425,0.0008338060415541873
bike_change,weekday_sin,0.0007866758952997562,0.00038600819445355636
bike_change,lon,0.0006399190111941641,0.00019664072720716746
bike_change,bike_index_rollmean_168,0.0004887825221343937,0.0003197838106895453
bike_change,weekday,0.0004155452431823618,0.00043336997657769953
bike_change,bike_index_rollmean_24,0.00036322143350009384,3.4064917679425035e-05
bike_change,wind_speed,0.0003498480462664766,0.00010330874912730509
bike_change,station_id,0.00032796718662475577,0.00010454047809402978
bike_change,bike_change_lag_2,0.0002993641664181812,4.7978327043019944e-05
bike_change,bike_index_rollmean_3,0.00024113789829745733,0.00012405648875799346
bike_change,bike_count_index_lag_1,0.00014414181057402034,0.00026122543335012544
bike_change,rain_x_commute,0.00010552772080663075,2.4040351261056632e-05
bike_change,return_count_lag_1,8.500495145654281e-05,0.0011563929475864976
bike_change,bike_count_index_lag_168,7.502701556168685e-05,0.00017341379489185175
bike_change,is_night_hour,3.5995774435212034e-05,7.900439307432292e-06
bike_change,lcd_count,3.427238899145202e-05,0.00013251409897127245
bike_change,dayofyear,3.077933669670685e-05,0.00011381476074015139
bike_change,month_sin,2.9056574980386902e-05,3.457053628044964e-06
bike_change,month,1.9858639787410464e-05,2.7596390153189434e-05
bike_change,cluster_3,1.599514467002609e-05,0.00016678049867255144
bike_change,is_lunch_hour,1.12373100098484e-05,4.48882433938944e-05
bike_change,is_holiday,3.6159590425614376e-06,0.0001199092836103038
bike_change,weekday_cos,2.620098359458941e-06,4.8179136992506654e-05
bike_change,year,0.0,0.0
bike_change,rain_x_night,0.0,0.0
bike_change,is_qr_mixed,0.0,0.0
bike_change,is_weekend,0.0,0.0
bike_change,is_holiday_eve,0.0,0.0
bike_change,heavy_rain,0.0,0.0
bike_change,is_rainy,0.0,0.0
bike_change,weekofyear,-4.103822228707088e-07,3.4790229711511218e-06
bike_change,cluster_4,-3.6405212426871003e-06,1.4301161050568956e-05
bike_change,bike_count_index_lag_2,-3.505307858420181e-05,0.00019724644174516518
bike_change,temperature,-4.295481119516905e-05,5.518035444276849e-05
bike_change,humidity,-0.00010083399543588574,0.00017862572575473386
