model,feature_variant,train_rows,eval_rows,rmse,mae,r2,nrmse_std,nmae_std,notes
lightgbm_leafy,enhanced_cluster,600000,1598688,1.1096502288611831,0.6324977631610866,0.2298751323066749,0.8775675858264849,0.5002112563231529,lightgbm deeper leaves tuning
lightgbm_balanced,enhanced_cluster,600000,1598688,1.1101907861655387,0.633307034111174,0.2291246291130279,0.8779950859127696,0.5008512687662419,lightgbm balanced tuning
lightgbm_regularized,enhanced_cluster,600000,1598688,1.1114981411113345,0.6344385354994462,0.22730800239286453,0.8790290083991172,0.5017461173553188,lightgbm regularized tuning
xgboost_deep,enhanced_cluster,600000,1598688,1.113599181175232,0.6356549859046936,0.2243841290473938,0.8806906172634632,0.5027081479282375,xgboost deeper tree tuning
xgboost_balanced,enhanced_cluster,600000,1598688,1.1180378198623657,0.638715922832489,0.21818870306015015,0.8842009174785334,0.5051288918349451,xgboost balanced tuning
hist_gbm_focus,enhanced_cluster,600000,1598688,1.118514935014792,0.6351281678941848,0.2175213297132338,0.8845782442988105,0.5022915135711873,histgbm tuned for bike_change
xgboost_regularized,enhanced_cluster,600000,1598688,1.1187888383865356,0.6373311877250671,0.2171381115913391,0.8847948609537157,0.5040337731987994,xgboost regularized tuning
